ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ck2u9p854kebj07213ck2qrpz,ck2qc7lqhofpr0er04jelhzs0,https://storage.labelbox.com/ck1v82w98dvrk0811prtlav9p%2F280e5e1a-41a1-8dbb-1726-97a88e2a4aa6-file_630.jpg?Expires=1575033355704&KeyName=labelbox-assets-key-1&Signature=5dvEkPFFOeRCV8qtwLSliR-ftr0,"{""objects"":[{""featureId"":""ck2u9p6hb00xy0sd39x0sa5r8"",""schemaId"":""ck2u96rm9z0gm0811b8zg3iy2"",""title"":""Ball"",""value"":""ball"",""color"":""#FF00FF"",""instanceURI"":""https://api.labelbox.com/masks/ck2qc2pq5kajm0838h8mmnfrd/ck2u99b5db6250748o1i5x2lr/ck2qc7lqhofpr0er04jelhzs0/0?feature=ck2u9p6hb00xy0sd39x0sa5r8&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazFqYmtzYmIxOG1lMDc5NG4wZzc0b3gzIiwib3JnYW5pemF0aW9uSWQiOiJjazF2ODJ3OThkdnJrMDgxMXBydGxhdjlwIiwiaWF0IjoxNTczODIzNzU1LCJleHAiOjE1NzY0MTU3NTV9.oKltvuqPpkXXUoMlgMNelQl9xNiBtoAds0uMZ1yk3F0""}],""classifications"":[]}",ldemk@softserveinc.com,October Camp,1573467125000,1573467125000,76.772,file_630.jpg,,,,,Camp October,[],https://editor.labelbox.com?project=ck2qc2pq5kajm0838h8mmnfrd&label=ck2u9p854kebj07213ck2qrpz
ck2u9pm3i4lo20725tipx0nzp,ck2qc7lwkokrf0er0apxn4anw,https://storage.labelbox.com/ck1v82w98dvrk0811prtlav9p%2F9e0edbd4-7bb4-9d65-873b-cf2d5ce9ed3c-frame1450.jpg?Expires=1575033355704&KeyName=labelbox-assets-key-1&Signature=c97QTJifa9USDPNwo9qTvoC4OTk,"{""objects"":[{""featureId"":""ck2u9pkcj00xz0sd3m1zqtsrq"",""schemaId"":""ck2u96rm9z0gm0811b8zg3iy2"",""title"":""Ball"",""value"":""ball"",""color"":""#FF00FF"",""instanceURI"":""https://api.labelbox.com/masks/ck2qc2pq5kajm0838h8mmnfrd/ck2u99b5db6250748o1i5x2lr/ck2qc7lwkokrf0er0apxn4anw/0?feature=ck2u9pkcj00xz0sd3m1zqtsrq&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazFqYmtzYmIxOG1lMDc5NG4wZzc0b3gzIiwib3JnYW5pemF0aW9uSWQiOiJjazF2ODJ3OThkdnJrMDgxMXBydGxhdjlwIiwiaWF0IjoxNTczODIzNzU1LCJleHAiOjE1NzY0MTU3NTV9.oKltvuqPpkXXUoMlgMNelQl9xNiBtoAds0uMZ1yk3F0""}],""classifications"":[]}",ldemk@softserveinc.com,October Camp,1573467143000,1573467143000,17.356,frame1450.jpg,,,,,Camp October,[],https://editor.labelbox.com?project=ck2qc2pq5kajm0838h8mmnfrd&label=ck2u9pm3i4lo20725tipx0nzp
ck2u9q3cqkelw0721ii2uzrqp,ck2qc7ltvoi330er0bqqj3lif,https://storage.labelbox.com/ck1v82w98dvrk0811prtlav9p%2F9bab23b5-e767-8d11-edbc-9bc0f2e3fb5b-file_t_1947.jpg?Expires=1575033355704&KeyName=labelbox-assets-key-1&Signature=qvoZKMAVqDTxEyecjJBJ5alzjL8,"{""objects"":[{""featureId"":""ck2u9q1a3070a0qa10hvguqg2"",""schemaId"":""ck2u96rm9z0gm0811b8zg3iy2"",""title"":""Ball"",""value"":""ball"",""color"":""#FF00FF"",""instanceURI"":""https://api.labelbox.com/masks/ck2qc2pq5kajm0838h8mmnfrd/ck2u99b5db6250748o1i5x2lr/ck2qc7ltvoi330er0bqqj3lif/0?feature=ck2u9q1a3070a0qa10hvguqg2&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazFqYmtzYmIxOG1lMDc5NG4wZzc0b3gzIiwib3JnYW5pemF0aW9uSWQiOiJjazF2ODJ3OThkdnJrMDgxMXBydGxhdjlwIiwiaWF0IjoxNTczODIzNzU1LCJleHAiOjE1NzY0MTU3NTV9.oKltvuqPpkXXUoMlgMNelQl9xNiBtoAds0uMZ1yk3F0""}],""classifications"":[]}",ldemk@softserveinc.com,October Camp,1573467166000,1573467166000,21.741,file_t_1947.jpg,,,,,Camp October,[],https://editor.labelbox.com?project=ck2qc2pq5kajm0838h8mmnfrd&label=ck2u9q3cqkelw0721ii2uzrqp
ck2uc3u7gnqx20757amolbhl7,ck2qc7lqloftb0er0hlyd5nzb,https://storage.labelbox.com/ck1v82w98dvrk0811prtlav9p%2F880ae9a4-a2b3-60a0-032b-963572ecda82-file_726.jpg?Expires=1575033355704&KeyName=labelbox-assets-key-1&Signature=3R4hUGARBCrzcezUdEJ4GZEzHvc,"{""objects"":[{""featureId"":""ck2uc3lin001b0sbp8fynn4sm"",""schemaId"":""ck2u96rm9z0gm0811b8zg3iy2"",""title"":""Ball"",""value"":""ball"",""color"":""#FF00FF"",""instanceURI"":""https://api.labelbox.com/masks/ck2qc2pq5kajm0838h8mmnfrd/ck2u99b5db6250748o1i5x2lr/ck2qc7lqloftb0er0hlyd5nzb/0?feature=ck2uc3lin001b0sbp8fynn4sm&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazFqYmtzYmIxOG1lMDc5NG4wZzc0b3gzIiwib3JnYW5pemF0aW9uSWQiOiJjazF2ODJ3OThkdnJrMDgxMXBydGxhdjlwIiwiaWF0IjoxNTczODIzNzU1LCJleHAiOjE1NzY0MTU3NTV9.oKltvuqPpkXXUoMlgMNelQl9xNiBtoAds0uMZ1yk3F0""}],""classifications"":[]}",ldemk@softserveinc.com,October Camp,1573471166000,1573471166000,29.356,file_726.jpg,,,,,Camp October,[],https://editor.labelbox.com?project=ck2qc2pq5kajm0838h8mmnfrd&label=ck2uc3u7gnqx20757amolbhl7
ck2uc4umzgymr0838u3xx0f2g,ck2qc7lwqokuz0er0gm1v0g0r,https://storage.labelbox.com/ck1v82w98dvrk0811prtlav9p%2F4936feec-9b3e-12b9-2ff6-951d3c08db4b-frame1546.jpg?Expires=1575033355704&KeyName=labelbox-assets-key-1&Signature=C1xHAFC22lHfmBz3q2AIWw4oic8,"{""objects"":[{""featureId"":""ck2uc4t5l001f0sbpwrl79v44"",""schemaId"":""ck2u96rm9z0gm0811b8zg3iy2"",""title"":""Ball"",""value"":""ball"",""color"":""#FF00FF"",""instanceURI"":""https://api.labelbox.com/masks/ck2qc2pq5kajm0838h8mmnfrd/ck2u99b5db6250748o1i5x2lr/ck2qc7lwqokuz0er0gm1v0g0r/0?feature=ck2uc4t5l001f0sbpwrl79v44&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazFqYmtzYmIxOG1lMDc5NG4wZzc0b3gzIiwib3JnYW5pemF0aW9uSWQiOiJjazF2ODJ3OThkdnJrMDgxMXBydGxhdjlwIiwiaWF0IjoxNTczODIzNzU1LCJleHAiOjE1NzY0MTU3NTV9.oKltvuqPpkXXUoMlgMNelQl9xNiBtoAds0uMZ1yk3F0""}],""classifications"":[]}",ldemk@softserveinc.com,October Camp,1573471214000,1573471214000,46.346,frame1546.jpg,,,,,Camp October,[],https://editor.labelbox.com?project=ck2qc2pq5kajm0838h8mmnfrd&label=ck2uc4umzgymr0838u3xx0f2g
ck2uc59t7j6jb094419nfjra6,ck2qc7lu7oi6n0er0fhzqe3ds,https://storage.labelbox.com/ck1v82w98dvrk0811prtlav9p%2Fd226e8cc-a9df-fb40-c062-aa162f437460-file_t_2043.jpg?Expires=1575033355704&KeyName=labelbox-assets-key-1&Signature=nElRx9AhfUmSLMA9D8s-S_j_O5U,"{""objects"":[{""featureId"":""ck2uc57q907d70qa1oa31ybub"",""schemaId"":""ck2u96rm9z0gm0811b8zg3iy2"",""title"":""Ball"",""value"":""ball"",""color"":""#FF00FF"",""instanceURI"":""https://api.labelbox.com/masks/ck2qc2pq5kajm0838h8mmnfrd/ck2u99b5db6250748o1i5x2lr/ck2qc7lu7oi6n0er0fhzqe3ds/0?feature=ck2uc57q907d70qa1oa31ybub&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazFqYmtzYmIxOG1lMDc5NG4wZzc0b3gzIiwib3JnYW5pemF0aW9uSWQiOiJjazF2ODJ3OThkdnJrMDgxMXBydGxhdjlwIiwiaWF0IjoxNTczODIzNzU1LCJleHAiOjE1NzY0MTU3NTV9.oKltvuqPpkXXUoMlgMNelQl9xNiBtoAds0uMZ1yk3F0""}],""classifications"":[]}",ldemk@softserveinc.com,October Camp,1573471233000,1573471233000,18.962,file_t_2043.jpg,,,,,Camp October,[],https://editor.labelbox.com?project=ck2qc2pq5kajm0838h8mmnfrd&label=ck2uc59t7j6jb094419nfjra6
ck2uc5nv6nrju0757s2k908vb,ck2qc7lqnofwv0er0fsef99pn,https://storage.labelbox.com/ck1v82w98dvrk0811prtlav9p%2F9dae15dd-0342-ca5a-640c-23150b316e26-file_822.jpg?Expires=1575033355704&KeyName=labelbox-assets-key-1&Signature=Qb7oLtJ925Hf57f7-hud2xa1DRg,"{""objects"":[{""featureId"":""ck2uc5lus01ap0sd32tp8mndd"",""schemaId"":""ck2u96rm9z0gm0811b8zg3iy2"",""title"":""Ball"",""value"":""ball"",""color"":""#FF00FF"",""instanceURI"":""https://api.labelbox.com/masks/ck2qc2pq5kajm0838h8mmnfrd/ck2u99b5db6250748o1i5x2lr/ck2qc7lqnofwv0er0fsef99pn/0?feature=ck2uc5lus01ap0sd32tp8mndd&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazFqYmtzYmIxOG1lMDc5NG4wZzc0b3gzIiwib3JnYW5pemF0aW9uSWQiOiJjazF2ODJ3OThkdnJrMDgxMXBydGxhdjlwIiwiaWF0IjoxNTczODIzNzU1LCJleHAiOjE1NzY0MTU3NTV9.oKltvuqPpkXXUoMlgMNelQl9xNiBtoAds0uMZ1yk3F0""}],""classifications"":[]}",ldemk@softserveinc.com,October Camp,1573471251000,1573471251000,17.507,file_822.jpg,,,,,Camp October,[],https://editor.labelbox.com?project=ck2qc2pq5kajm0838h8mmnfrd&label=ck2uc5nv6nrju0757s2k908vb
ck2uc6c6qj6wx0944o5eblyyy,ck2qc7lwsokyj0er00w1k1rhy,https://storage.labelbox.com/ck1v82w98dvrk0811prtlav9p%2Fb9415773-5df7-5aea-746d-e36ba5a26f0e-frame1642.jpg?Expires=1575033355705&KeyName=labelbox-assets-key-1&Signature=Pyo1vHOi0b5sHPbdEo4x7-IuLj4,{},ldemk@softserveinc.com,October Camp,1573471283000,1573471283000,30.768,frame1642.jpg,,,,,Camp October,[],https://editor.labelbox.com?project=ck2qc2pq5kajm0838h8mmnfrd&label=ck2uc6c6qj6wx0944o5eblyyy
ck2uc6ogsgz7m0838ozvmv2q2,ck2qc7luboia70er05x4pa9lo,https://storage.labelbox.com/ck1v82w98dvrk0811prtlav9p%2Ff19dbfbc-5f9f-732f-c473-2d227f29749f-file_t_2139.jpg?Expires=1575033355705&KeyName=labelbox-assets-key-1&Signature=AM61PXnUufmsTtL80xXJWTjTwWA,"{""objects"":[{""featureId"":""ck2uc6mox035n0re9r85navxu"",""schemaId"":""ck2u96rm9z0gm0811b8zg3iy2"",""title"":""Ball"",""value"":""ball"",""color"":""#FF00FF"",""instanceURI"":""https://api.labelbox.com/masks/ck2qc2pq5kajm0838h8mmnfrd/ck2u99b5db6250748o1i5x2lr/ck2qc7luboia70er05x4pa9lo/0?feature=ck2uc6mox035n0re9r85navxu&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazFqYmtzYmIxOG1lMDc5NG4wZzc0b3gzIiwib3JnYW5pemF0aW9uSWQiOiJjazF2ODJ3OThkdnJrMDgxMXBydGxhdjlwIiwiaWF0IjoxNTczODIzNzU1LCJleHAiOjE1NzY0MTU3NTV9.oKltvuqPpkXXUoMlgMNelQl9xNiBtoAds0uMZ1yk3F0""}],""classifications"":[]}",ldemk@softserveinc.com,October Camp,1573471299000,1573471299000,15.345,file_t_2139.jpg,,,,,Camp October,[],https://editor.labelbox.com?project=ck2qc2pq5kajm0838h8mmnfrd&label=ck2uc6ogsgz7m0838ozvmv2q2
ck2uc7b26eqgw0794thsfg6b0,ck2qc7lqqog0f0er04rthgxpp,https://storage.labelbox.com/ck1v82w98dvrk0811prtlav9p%2F4757d869-b303-0b87-680c-24d6f684435d-file_918.jpg?Expires=1575033355705&KeyName=labelbox-assets-key-1&Signature=3ooMBPA-CjDWISuIyTEcNx1MLUI,"{""objects"":[{""featureId"":""ck2uc79q3001r0sbpulxsohr4"",""schemaId"":""ck2u96rm9z0gm0811b8zg3iy2"",""title"":""Ball"",""value"":""ball"",""color"":""#FF00FF"",""instanceURI"":""https://api.labelbox.com/masks/ck2qc2pq5kajm0838h8mmnfrd/ck2u99b5db6250748o1i5x2lr/ck2qc7lqqog0f0er04rthgxpp/0?feature=ck2uc79q3001r0sbpulxsohr4&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazFqYmtzYmIxOG1lMDc5NG4wZzc0b3gzIiwib3JnYW5pemF0aW9uSWQiOiJjazF2ODJ3OThkdnJrMDgxMXBydGxhdjlwIiwiaWF0IjoxNTczODIzNzU1LCJleHAiOjE1NzY0MTU3NTV9.oKltvuqPpkXXUoMlgMNelQl9xNiBtoAds0uMZ1yk3F0""}],""classifications"":[]}",ldemk@softserveinc.com,October Camp,1573471328000,1573471328000,28.56,file_918.jpg,,,,,Camp October,[],https://editor.labelbox.com?project=ck2qc2pq5kajm0838h8mmnfrd&label=ck2uc7b26eqgw0794thsfg6b0
